,Hugh_tbr_2pn_2017,PPPIMC_2pn_2017,RobotShark_iro_2pn_2017,ASHE_2pn_2017,Slumbot_2pn_2017,SimpleRule_2pn_2017,RobotShark_tbr_2pn_2017,PokerCNN_2pn_2017,HITSZ_2pn_2017,ElDonatoro_2pn_2017,Hugh_iro_2pn_2017,Rembrant6_2pn_2017,Feste_2pn_2017,PokerBot5_2pn_2017,Intermission_2pn_2017
Hugh_tbr_2pn_2017,0,750,0,-395.29285000000004,-302.7347666666667,750,-241.74724999999998,-174.56905,-375.7517833333333,682.8366,0,-233.76035000000002,-346.20714999999996,-750,-392.51755
PPPIMC_2pn_2017,-750,0,-750,-750,-750,750,-750,-750,-750,750,403.6964,741.8898,-750,-750,-750
RobotShark_iro_2pn_2017,0,750,0,750,40.61333333333334,750,0,78.32625,-43.98299333333333,750,465.60813333333334,-110.8068,-9.101893333333333,308.6034333333333,139.19885
ASHE_2pn_2017,395.29285000000004,750,-750,0,750,750,-750,750,-750,750,406.50576666666666,750,-750,-602.34555,-750
Slumbot_2pn_2017,302.7347666666667,750,-40.61333333333334,-750,0,-164.79473333333334,-45.45076666666667,219.56154999999998,99.08513333333333,750,499.1330333333333,-14.307783333333333,2.5161,-750,-58.48206666666667
SimpleRule_2pn_2017,-750,-750,-750,-750,164.79473333333334,0,-750,-324.9356,-750,-750,-623.6208,750,-750,-750,-750
RobotShark_tbr_2pn_2017,241.74724999999998,750,0,750,45.45076666666667,750,0,79.39795000000001,-61.5561,750,0,-115.98388333333334,-27.68541666666667,291.2204016101791,-153.60514999999998
PokerCNN_2pn_2017,174.56905,750,-78.32625,-750,-219.56154999999998,324.9356,-79.39795000000001,0,-155.52693333333335,750,309.22298333333333,-25.369183333333332,-212.89041666666665,-550.1622166666666,-216.32175
HITSZ_2pn_2017,375.7517833333333,750,43.98299333333333,750,-99.08513333333333,750,61.5561,155.52693333333335,0,750,504.80179999999996,-170.11993333333334,-65.05318,242.19316666666668,-137.45096666666666
ElDonatoro_2pn_2017,-682.8366,-750,-750,-750,-750,750,-750,-750,-750,0,-750,-750,-750,-750,-750
Hugh_iro_2pn_2017,0,-403.6964,-465.60813333333334,-406.50576666666666,-499.1330333333333,623.6208,0,-309.22298333333333,-504.80179999999996,750,0,-458.1470166666667,-475.7541166666667,-263.22006666666664,-511.8841
Rembrant6_2pn_2017,233.76035000000002,-741.8898,110.8068,-750,14.307783333333333,-750,115.98388333333334,25.369183333333332,170.11993333333334,750,458.1470166666667,0,-291.79881666666665,-750,-22.025633333333335
Feste_2pn_2017,346.20714999999996,750,9.101893333333333,750,-2.5161,750,27.68541666666667,212.89041666666665,65.05318,750,475.7541166666667,291.79881666666665,0,210.03873333333334,-70.9889
PokerBot5_2pn_2017,750,750,-308.6034333333333,602.34555,750,750,-291.2204016101791,550.1622166666666,-242.19316666666668,750,263.22006666666664,750,-210.03873333333334,0,-287.0025
Intermission_2pn_2017,392.51755,750,139.19885,750,58.48206666666667,750,153.60514999999998,216.32175,137.45096666666666,750,511.8841,22.025633333333335,70.9889,287.0025,0
